Case,OCC_DATE,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
2014668766,12/18/2014 0:00,715,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 18TH AVE / N LOGAN ST,3145572,1696612
201554912,1/28/2015 0:00,2235,INACTIVE - EARLY CASE CLOSURE,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-HISPANIC,5,COMMERCIAL/OFFICE BUILDING                                                     ,6800 BLOCK E TENNESSEE AVE,3166336,1680004
201563298,2/2/2015 0:00,200,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,19TH ST / WAZEE ST,3141591,1699923
2015115297,3/1/2015 0:00,110,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 13TH AVE / N MARION ST,3148533,1693718
2015250812,5/6/2015 0:00,1950,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-HISPANIC,57,COMMUNITY CENTER                                                               ,3700 BLOCK N LAFAYETTE ST,3148597,1705606
2015293970,5/26/2015 0:00,50,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1210,1210-0,ROBBERY - PURSE SNATCH W/FORCE,ANTI-MALE HOMOSEXUAL (GAY),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1500 BLOCK BLK N PENNSYLVANIA AVE,,
2015296261,5/29/2015 0:00,1815,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E COLFAX AVE / N DOWNING ST,3148176,1694866
2015315802,6/7/2015 0:00,1130,INACTIVE,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,300 BLOCK E 20TH AVE,3145275,1697563
2015333397,6/10/2015 0:00,1200,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,3400 BLOCK S LOCUST ST,3164711,1663939
2015333616,6/15/2015 0:00,1830,INACTIVE,1205,1205-0,ROBBERY - STREET,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E MLK BLVD / N DAHLIA ST,3159763,1702909
2015338667,6/17/2015 0:00,2330,INACTIVE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-OTHER RELIGION,20,RESIDENCE/HOME                                                                 ,1200 BLOCK S BELLAIRE ST,3158211,1678062
20158021395,6/27/2015 0:00,1335,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,1,AIR/BUS/TRAIN TERMINAL                                                         ,8400 BLOCK PENA BLVD,3231977,1735292
2015375817,7/4/2015 0:00,2138,INACTIVE,1315,1315-0,AGGRAVATED ASSAULT,ANTI-WHITE,50,PARK/PLAYGROUND                                                                ,4800 BLOCK N ARGONNE WAY,3207756,1713299
2015392309,7/12/2015 0:00,130,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-FEMALE HOMOSEXUAL (LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,N BROADWAY ST / E 10TH AVE,3144169,1691933
2015406120,7/18/2015 0:00,1920,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,7700 BLOCK E QUINCY AVE,3169240,1658522
2015444759,8/5/2015 0:00,1300,REFUSED BY DA - OTHER REASON,5309,5309-0,HARASSMENT,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,8100 BLOCK E FAIRMOUNT DR,3171043,1685274
2015444830,8/5/2015 0:00,1500,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1313,1313-0,ASSAULT - SIMPLE,ANTI-FEMALE HOMOSEXUAL (LESBIAN),20,RESIDENCE/HOME                                                                 ,3900 BLOCK N ELATI ST,3142717,1706283
2015482329,8/22/2015 0:00,1650,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,18,PARKING LOT/GARAGE                                                             ,18600 BLOCK E GVR BLVD,3205626,1711255
2015523553,9/10/2015 0:00,130,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E COLFAX AVE / N WASHINGTON ST,3146588,1694851
2015528801,9/11/2015 0:00,1520,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,S LOWELL BLVD / W ADA PL,3130992,1680681
2015528232,9/12/2015 0:00,125,INACTIVE,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-WHITE,50,PARK/PLAYGROUND                                                                ,1300 BLOCK LARIMER ST,3140539,1697206
2015574170,10/2/2015 0:00,1700,REFUSED BY DA - OTHER REASON,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HISPANIC,21,RESTAURANT                                                                     ,3200 BLOCK N COLORADO BLVD,3157378,1703198
2015614372,10/17/2015 0:00,1830,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,200 BLOCK 16TH ST,3143897,1695450
2015645598,11/4/2015 0:00,140,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,800 BLOCK E COLFAX AVE,3146931,1694824
2015671167,11/16/2015 0:00,1315,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5215,5215-0,BOMB THREAT,ANTI-BLACK,9,DRUG STORE/DR'S OFFICE/HOSPITAL                                                ,3500 BLOCK S TAMARAC DR,3169166,1662845
2015672859,11/17/2015 0:00,1337,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1100 BLOCK S FEDERAL BLVD,3133530,1678930
2015720231,12/10/2015 0:00,2100,REFERRED TO OTHER AGENCY,5309,5309-0,HARASSMENT,ANTI-ISLAMIC,20,RESIDENCE/HOME                                                                 ,4500 BLOCK S MONACO ST,3166184,1655058
201618818,1/10/2016 0:00,20,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,S BROADWAY ST / E MISSISSIPPI AVE,3144234,1679035
